"u" "x" "y"
"1" 0 90 -329.288821898508
"2" 0.0628318 89.8224058584608 -314.602480989153
"3" 0.1256636 89.2903243156013 -298.674549912301
"4" 0.1884954 88.4058552506398 -281.567888828976
"5" 0.2513272 87.1724892530057 -263.350009801171
"6" 0.314159 85.5950938465999 -244.092810353034
"7" 0.3769908 83.6798942799352 -223.872289724662
"8" 0.4398226 81.4344489579653 -202.768248938334
"9" 0.5026544 78.8676196125641 -180.863975860859
"10" 0.5654862 75.9895363293778 -158.245916504976
"11" 0.628318 72.8115575690721 -135.003333867009
"12" 0.6911498 69.3462253407527 -111.227955647196
"13" 0.7539816 65.6072157044695 -87.0136122429762
"14" 0.8168134 61.6092847981461 -62.4558664439006
"15" 0.8796452 57.3682106019434 -37.6516362895983
"16" 0.942477 52.9007306698853 -12.6988125791986
"17" 1.0053088 48.2244760744913 12.3041274582804
"18" 1.0681406 43.3579018251057 37.2585088079077
"19" 1.1309724 38.3202140345296 62.0658480933842
"20" 1.1938042 33.1312941213966 86.6282422452823
"21" 1.256636 27.8116203474287 110.848754879078
"22" 1.3194678 22.3821869992294 134.63179885813
"23" 1.3822996 16.8644215335657 157.883513531803
"24" 1.4451314 11.2801000131284 180.512135159946
"25" 1.5079632 5.65126116650656 202.428359061841
"26" 1.570795 0.000119411540700978 223.545692060386
"27" 1.6336268 -5.65102281468714 243.780793830569
"28" 1.6964586 -11.2798630732351 263.053805805106
"29" 1.7592904 -16.8641869406905 281.288666339187
"30" 1.8221222 -22.3819556792016 298.413410890529
"31" 1.884954 -27.8113932131613 314.360456030074
"32" 1.9477858 -33.1310720692832 329.066866162451
"33" 2.0106176 -38.319997940907 342.474601903604
"34" 2.0734494 -43.3576925427952 354.530749135334
"35" 2.1362812 -48.2242744294333 365.187727832799
"36" 2.199113 -52.9005374578792 374.403479840817
"37" 2.2619448 -57.3680265855076 382.14163485791
"38" 2.3247766 -61.6091107035081 388.371653973026
"39" 2.3876084 -65.6070522187002 393.068950188464
"40" 2.4504402 -69.3460731090546 396.21498545336
"41" 2.513272 -72.8114171922331 397.797343824777
"42" 2.5761038 -75.9894083614003 397.80978046768
"43" 2.6389356 -78.8675045584784 396.252246300404
"44" 2.7017674 -81.4343472718364 393.130888188357
"45" 2.7645992 -83.6798063630713 388.458024685191
"46" 2.827431 -85.595020045968 382.252097417182
"47" 2.8902628 -87.1724298598627 374.537598302675
"48" 2.9530946 -88.405810499383 365.344972893842
"49" 3.0159264 -89.290294382843 354.710500222193
"50" 3.0787582 -89.8223908623319 342.676149622057
"51" 3.14159 -89.9999999996831 329.289415097075
"52" 3.2044218 -89.8224208539573 314.603127883379
"53" 3.2672536 -89.2903542477308 298.675247949195
"54" 3.3300854 -88.4059000012742 281.56863525371
"55" 3.3929172 -87.1725486455348 263.350801667953
"56" 3.455749 -85.5951676466291 244.093644536731
"57" 3.5185808 -83.6799821962099 223.87316293314
"58" 3.5814126 -81.4345506435207 202.769157725442
"59" 3.6442444 -78.8677346660945 180.864916640037
"60" 3.7070762 -75.9896642968203 158.246885563403
"61" 3.769908 -72.8116979453983 135.004327380261
"62" 3.8327398 -69.3463775719625 111.228969694338
"63" 3.8955716 -65.6073791897769 87.0146428220332
"64" 3.9584034 -61.6094588923503 62.4569094876549
"65" 4.0212352 -57.3683946179752 37.65268768164
"66" 4.084067 -52.9009238815188 12.6998681701704
"67" 4.1468988 -48.2246777192098 -12.3030718343076
"68" 4.2097306 -43.3581111071108 -37.2574573169913
"69" 4.2725624 -38.3204301278823 -62.0648048852719
"70" 4.3353942 -33.1315161732767 -86.6272114370325
"71" 4.398226 -27.8118474815003 -110.847740538813
"72" 4.4610578 -22.3824183190995 -134.630804988983
"73" 4.5238896 -16.8646561263221 -157.882544056112
"74" 4.5867214 -11.2803369529423 -180.511193903783
"75" 4.6495532 -5.65149951828617 -202.427449739908
"76" 4.712385 -0.000358234622142061 -223.544818261354
"77" 4.7752168 5.65078446282789 -243.77995900292
"78" 4.8380486 11.2796261332625 -263.053013243517
"79" 4.9008804 16.8639523476965 -281.28791917153
"80" 4.9637122 22.3817243590163 -298.412712065529
"81" 5.026544 27.8111660786981 -314.35980830567
"82" 5.0893758 33.1308500169365 -329.066272094911
"83" 5.1522076 38.3197818470146 -342.474063837437
"84" 5.2150394 43.3574832601795 -354.530269194037
"85" 5.2778712 48.2240727840357 -365.187307910478
"86" 5.340703 52.9003442455007 -374.403121594711
"87" 5.4035348 57.3678425686678 -382.141339701851
"88" 5.4663666 61.6089366084364 -388.371423071858
"89" 5.5291984 65.6068887324689 -393.068784453447
"90" 5.5920302 69.3459208768681 -396.214885538572
"91" 5.654862 72.8112768148814 -397.797310124536
"92" 5.7176938 75.9892803928877 -397.809813114985
"93" 5.7805256 78.8673895038372 -396.252345166412
"94" 5.8433574 81.4342455851341 -393.13105288289
"95" 5.9061892 83.6797184456181 -388.458254558275
"96" 5.969021 85.5949462447334 -382.252391561615
"97" 6.0318528 87.1723704661059 -374.537955557606
"98" 6.0946846 88.4057657475036 -365.34539184935
"99" 6.1575164 89.290264449456 -354.710979224855
"100" 6.2203482 89.8223758655704 -342.676686781471
