Vset_mV	Vin_mV	Vs_mV	Vo_mV
-1100	-1088	-905	-1841
-1000	 -989	-911	-1854
 -900	 -890	-888	-1805
 -800	 -791	-789	-1605
 -700	 -692	-689	-1402
 -500	 -494	-491	 -999
 -200	 -197	-195	 -397
 -100	  -98	 -96	 -196
 -2.2	   -2	   0	    0
    0	    0	   2	    4
    0	    2	   2	    5
   10	   10	  11	   24
  100	   98	 101	  205
  100	   98	 101	  206
  200	  197	 200	  407
  500	  495	 498	 1013
  700	  693	 696	 1416
  800	  792	 795	 1616
  900	  891	 894	 1818
 1000	  989	 939	 1910
 1100	 1089	 941	 1913
