  Vset_mV  Vin_mV   Vs_mV   Vo_mV
    -1400   -1386   -1144   -2316
    -1300   -1286   -1149   -2325
    -1200   -1188   -1148   -2323
    -1200   -1188   -1159   -2349
    -1100   -1088   -1095   -2218
    -1000    -990    -996   -2016
    -1000    -990    -996   -2017
     -900    -890    -896   -1813
     -800    -792    -797   -1612
     -600    -594    -597   -1209
     -400    -395    -397    -803
     -200    -197    -197    -399
     -100     -98     -97    -197
       -1.5    -1       0       1
	0       0       2       3
	0       0       2       4
      100      98     101     205
      100      98     101     206
      200     197     201     408
      400     395     401     812
      600     593     601    1216
      800     791     800    1620
      900     890     900    1823
     1000     989    1000    2023
     1000     989    1000    2023
     1000     989    1000    2024
     1100    1088    1100    2226
     1200    1187    1194    2420
     1300    1286    1190    2405
     1300    1286    1195    2414
     1400    1385    1188    2407
     1400    1385    1196    2420

