                      Lxi_mm   Lxq_mm   Lyi_mm    Lyq_mm  Ex_mm  Px_deg   Ey_mm  Py_deg Pe_deg Meanx_mm Meany_mm
raw/f1_f785_ang_000 -0.05609  0.01814  0.01885 -0.005783 0.1179 162.080 0.03943  -17.06 -179.1  -0.5604   0.8758
raw/f1_f787_ang_000 -0.06287  0.02075  0.02194 -0.006917 0.1324 161.735 0.04601  -17.50 -179.2  -0.5639   0.8804
raw/f1_f789_ang_000 -0.07001  0.02367  0.02466 -0.008024 0.1478 161.317 0.05186  -18.03 -179.3  -0.5622   0.8781
raw/f1_f791_ang_000 -0.07980  0.02778  0.02894 -0.009791 0.1690 160.806 0.06110  -18.69 -179.5  -0.5637   0.8799
raw/f1_f793_ang_000 -0.09153  0.03307  0.03368 -0.011997 0.1946 160.136 0.07150  -19.61 -179.7  -0.5631   0.8797
raw/f1_f795_ang_000 -0.10859  0.04119  0.04137 -0.015808 0.2323 159.228 0.08857  -20.91 -180.1  -0.5642   0.8811
raw/f1_f797_ang_000 -0.13201  0.05358  0.05271 -0.022325 0.2849 157.908 0.11448  -22.95 -180.9  -0.5639   0.8809
raw/f1_f799_ang_000 -0.16843  0.07575  0.07302 -0.036476 0.3694 155.784 0.16325  -26.54 -182.3  -0.5638   0.8807
raw/f1_f801_ang_000 -0.22806  0.12285  0.11100 -0.076228 0.5181 151.690 0.26930  -34.48 -186.2  -0.5616   0.8771
raw/f1_f803_ang_000 -0.32057  0.26774  0.15651 -0.277137 0.8353 140.131 0.63656  -60.54 -200.7  -0.5651   0.8831
raw/f1_f805_ang_000 -0.35786  0.57179 -0.44068 -0.388269 1.3491 122.041 1.17465 -138.62 -260.7  -0.5654   0.8756
raw/f1_f807_ang_000  0.65106  0.42442 -0.10162  0.062753 1.5544  33.100 0.23887  148.30  115.2  -0.5695   0.8817
raw/f1_f809_ang_000  0.38206  0.02388 -0.05934  0.009059 0.7656   3.576 0.12006  171.32  167.7  -0.5629   0.8802
raw/f1_f811_ang_000  0.24369 -0.01738 -0.04747  0.006529 0.4886  -4.079 0.09584  172.17  176.2  -0.5647   0.8810
raw/f1_f813_ang_000  0.17636 -0.02286 -0.03786  0.005868 0.3557  -7.386 0.07662  171.19  178.6  -0.5633   0.8793
raw/f1_f815_ang_000  0.13893 -0.02261 -0.03224  0.005467 0.2815  -9.242 0.06540  170.38  179.6  -0.5646   0.8813
raw/f1_f817_ang_000  0.11468 -0.02113 -0.02784  0.005064 0.2332 -10.437 0.05660  169.69  180.1  -0.5666   0.8836
raw/f1_f819_ang_000  0.09716 -0.01935 -0.02408  0.004611 0.1981 -11.265 0.04904  169.16  180.4  -0.5671   0.8842
raw/f1_f821_ang_000  0.08530 -0.01793 -0.02244  0.004453 0.1743 -11.872 0.04575  168.78  180.6  -0.5668   0.8842
raw/f1_f823_ang_000  0.07617 -0.01664 -0.02069  0.004212 0.1559 -12.325 0.04223  168.50  180.8  -0.5686   0.8871
raw/f1_f825_ang_000  0.06839 -0.01560 -0.01870  0.003965 0.1403 -12.853 0.03824  168.03  180.9  -0.5689   0.8874

