FreqR_Hz Lxi_mm   Lxq_mm   Lyi_mm   Lyq_mm   Ex_mm    Px_deg   Ey_mm    Py_deg   Pe_deg   Meanx_mm Meany_mm
  800.50 -0.12990  0.06241  0.05751 -0.03372   0.2882  154.339    0.1333  -30.387 -184.726  -0.0956   0.3737
  801.00 -0.14105  0.07119  0.06497 -0.04162   0.3160  153.221    0.1543  -32.641 -185.862  -0.0965   0.3744
  801.50 -0.15371  0.08246  0.07356 -0.05301   0.3489  151.789    0.1813  -35.775 -187.564  -0.0962   0.3747
  802.00 -0.16871  0.09761  0.08411 -0.07017   0.3898  149.947    0.2191  -39.840 -189.787  -0.0955   0.3746
  802.50 -0.18551  0.11814  0.09553 -0.09759   0.4399  147.510    0.2731  -45.612 -193.122  -0.0965   0.3753
  803.00 -0.20302  0.14757  0.10432 -0.14315   0.5020  143.989    0.3543  -53.916 -197.904  -0.0975   0.3763
  803.50 -0.21588  0.18675  0.09543 -0.21778   0.5709  139.138    0.4755  -66.336 -205.474  -0.0974   0.3766
  804.00 -0.21564  0.23022  0.03205 -0.32063   0.6309  133.127    0.6445  -84.292 -217.419  -0.0977   0.3764
  804.50 -0.21238  0.25853 -0.11796 -0.37701   0.6692  129.402    0.7901 -107.374 -236.776  -0.0964   0.3758
  805.00 -0.24257  0.30519 -0.26231 -0.31579   0.7797  128.478    0.8210 -129.714 -258.192  -0.0971   0.3758
  805.50 -0.25935  0.43652 -0.34364 -0.20434   1.0155  120.717    0.7996 -149.262 -269.979  -0.0986   0.3769
  806.00 -0.12683  0.63877 -0.36915 -0.05153   1.3025  101.231    0.7455 -172.053 -273.284  -0.1006   0.3772
  806.50  0.26031  0.64209 -0.22247  0.10489   1.3857   67.932    0.4919  154.757   86.825  -0.1024   0.3789
  807.00  0.43514  0.38784 -0.07748  0.07660   1.1658   41.710    0.2179  135.328   93.618  -0.0996   0.3786
  807.50  0.42578  0.20828 -0.04265  0.03865   0.9480   26.067    0.1151  137.818  111.752  -0.0999   0.3787
  808.00  0.37137  0.10550 -0.03484  0.02027   0.7721   15.859    0.0806  149.802  133.943  -0.0998   0.3782
  808.50  0.31621  0.05135 -0.03290  0.01206   0.6407    9.223    0.0701  159.872  150.649  -0.0995   0.3777
  809.00  0.27053  0.02253 -0.03138  0.00832   0.5429    4.760    0.0649  165.150  160.390  -0.0984   0.3768
  809.50  0.23420  0.00671 -0.02997  0.00647   0.4686    1.640    0.0613  167.823  166.183  -0.0989   0.3764
  810.00  0.20629 -0.00240 -0.02868  0.00547   0.4126   -0.666    0.0584  169.199  169.865  -0.0978   0.3759
  810.50  0.18412 -0.00780 -0.02767  0.00488   0.3686   -2.426    0.0562  170.009  172.435  -0.0977   0.3756
