jSet FreqR_Hz   Lxi_mm   Lxq_mm   Lyi_mm   Lyq_mm    Ex_mm   Px_deg    Ey_mm   Py_deg   Pe_deg Meanx_mm Meany_mm
   1   798.50 -0.18474  0.10154  0.02509 -0.02043   0.4216  151.205   0.0647  -39.155 -190.360  -0.0740  -0.1060
   2   799.00 -0.20418  0.13031  0.02955 -0.02988   0.4844  147.452   0.0840  -45.317 -192.770  -0.0804  -0.1052
   3   799.50 -0.22375  0.17406  0.03410 -0.04570   0.5670  142.120   0.1140  -53.271 -195.392  -0.0890  -0.1042
   4   800.00 -0.23528  0.24208  0.03508 -0.07324   0.6752  134.184   0.1624  -64.408 -198.592  -0.1023  -0.1020
   5   800.50 -0.21635  0.34287  0.01812 -0.12314   0.8108  122.251   0.2489  -81.631 -203.883  -0.1206  -0.0986
   6   801.00 -0.12720  0.42419 -0.08007 -0.20807   0.8857  106.693   0.4459 -111.048 -217.740  -0.1331  -0.0960
   7   801.50 -0.04594  0.45211 -0.20096 -0.18106   0.9089   95.802   0.5410 -137.982 -233.784  -0.1400  -0.1021
   8   802.00  0.09181  0.50085 -0.24124 -0.04942   1.0184   79.612   0.4925 -168.422 -248.034  -0.1536  -0.1089
   9   802.50  0.26916  0.41172 -0.16328  0.05701   0.9838   56.826   0.3459  160.755  103.929  -0.1465  -0.1113
  10   803.00  0.32478  0.26925 -0.06666  0.07399   0.8438   39.659   0.1992  132.015   92.356  -0.1261  -0.1126
  11   803.50  0.31691  0.19017 -0.03344  0.06876   0.7392   30.966   0.1529  115.938   84.971  -0.1113  -0.1131
  12   804.00  0.29343  0.12805 -0.00531  0.04961   0.6403   23.576   0.0998   96.112   72.537  -0.0981  -0.1124
  13   804.50  0.26776  0.08496  0.00779  0.03159   0.5618   17.603   0.0651   76.146   58.543  -0.0885  -0.1119
  14   805.00  0.24312  0.05432  0.01150  0.01816   0.4982   12.594   0.0430   57.643   45.049  -0.0815  -0.1116
  15   805.50  0.21715  0.03385  0.01005  0.01063   0.4395    8.860   0.0293   46.606   37.746  -0.0753  -0.1112
  16   806.00  0.19507  0.02060  0.00809  0.00644   0.3923    6.028   0.0207   38.513   32.485  -0.0712  -0.1108
  17   806.50  0.17640  0.01186  0.00612  0.00401   0.3536    3.845   0.0146   33.235   29.390  -0.0681  -0.1105
  18   807.00  0.16065  0.00592  0.00455  0.00261   0.3215    2.111   0.0105   29.840   27.729  -0.0653  -0.1103
  19   807.50  0.14720  0.00181  0.00337  0.00178   0.2944    0.705   0.0076   27.878   27.173  -0.0630  -0.1101
  20   808.00  0.13562 -0.00108  0.00246  0.00128   0.2713   -0.457   0.0055   27.436   27.892  -0.0619  -0.1100
  21   808.50  0.12549 -0.00312  0.00172  0.00094   0.2511   -1.423   0.0039   28.711   30.134  -0.0606  -0.1099
